feature,importance
month_cos,0.96015227
temperature,0.48396662
pm25,0.37280047
wind_direction,0.36035845
rolling_min_24,0.28865013
wind_speed,0.28715488
day_of_week,0.27748898
lag_24,0.27624696
month_sin,0.27023432
humidity,0.2664505
month,0.22918952
rolling_max_24,0.21564673
hour,0.2115524
rolling_mean_48,0.2105376
rolling_std_24,0.20781174
lag_1,0.20211063
rolling_mean_24,0.14560756
lag_168,0.14370613
temp_x_humidity,0.1433348
lag_72,0.14229012
lag_48,0.14104642
hour_sin,0.13372456
lag_12,0.13227393
rolling_mean_6,0.12649763
rolling_mean_12,0.110788316
lag_6,0.086188674
lag_3,0.07057708
hour_cos,0.039368477
is_weekend,0.009800903
